"","Description","Chromosome.Name","Gene.Start..bp.","Gene.End..bp.","Associated.Gene.Name","Gene.Biotype","symbol","id"
"ENSG00000142751","GPN-loop GTPase 2 [Source:HGNC Symbol;Acc:25513]","1",27202624,27216788,"GPN2","protein_coding","GPN2","ENSG00000142751"
"ENSG00000090273","nudC nuclear distribution protein [Source:HGNC Symbol;Acc:8045]","1",27226729,27273353,"NUDC","protein_coding","NUDC","ENSG00000090273"
"ENSG00000142784","WD and tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:29175]","1",27561007,27635110,"WDTC1","protein_coding","WDTC1","ENSG00000142784"
"ENSG00000186501","transmembrane protein 222 [Source:HGNC Symbol;Acc:25363]","1",27648651,27662891,"TMEM222","protein_coding","TMEM222","ENSG00000186501"
"ENSG00000142765","synaptotagmin-like 1 [Source:HGNC Symbol;Acc:15584]","1",27668513,27680421,"SYTL1","protein_coding","SYTL1","ENSG00000142765"
"ENSG00000142733","mitogen-activated protein kinase kinase kinase 6 [Source:HGNC Symbol;Acc:6858]","1",27681675,27693383,"MAP3K6","protein_coding","MAP3K6","ENSG00000142733"
"ENSG00000158195","WAS protein family, member 2 [Source:HGNC Symbol;Acc:12733]","1",27730730,27816669,"WASF2","protein_coding","WASF2","ENSG00000158195"
"ENSG00000000938","feline Gardner-Rasheed sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:3697]","1",27938575,27961788,"FGR","protein_coding","FGR","ENSG00000000938"
"ENSG00000126709","interferon, alpha-inducible protein 6 [Source:HGNC Symbol;Acc:4054]","1",27992572,27998729,"IFI6","protein_coding","IFI6","ENSG00000126709"
"ENSG00000009780","family with sequence similarity 76, member A [Source:HGNC Symbol;Acc:28530]","1",28052490,28089633,"FAM76A","protein_coding","FAM76A","ENSG00000009780"
"ENSG00000117758","syntaxin 12 [Source:HGNC Symbol;Acc:11430]","1",28099694,28150963,"STX12","protein_coding","STX12","ENSG00000117758"
"ENSG00000117751","protein phosphatase 1, regulatory subunit 8 [Source:HGNC Symbol;Acc:9296]","1",28157289,28178187,"PPP1R8","protein_coding","PPP1R8","ENSG00000117751"
"ENSG00000130775","thymocyte selection associated family member 2 [Source:HGNC Symbol;Acc:16839]","1",28199055,28213196,"THEMIS2","protein_coding","THEMIS2","ENSG00000130775"
"ENSG00000117748","replication protein A2, 32kDa [Source:HGNC Symbol;Acc:10290]","1",28218035,28241257,"RPA2","protein_coding","RPA2","ENSG00000117748"
"ENSG00000158156","XK, Kell blood group complex subunit-related family, member 8 [Source:HGNC Symbol;Acc:25508]","1",28285973,28294607,"XKR8","protein_coding","XKR8","ENSG00000158156"
"ENSG00000158161","eyes absent homolog 3 (Drosophila) [Source:HGNC Symbol;Acc:3521]","1",28296855,28415207,"EYA3","protein_coding","EYA3","ENSG00000158161"
"ENSG00000169403","platelet-activating factor receptor [Source:HGNC Symbol;Acc:9582]","1",28473677,28520447,"PTAFR","protein_coding","PTAFR","ENSG00000169403"
"ENSG00000126698","DnaJ (Hsp40) homolog, subfamily C, member 8 [Source:HGNC Symbol;Acc:15470]","1",28525967,28559536,"DNAJC8","protein_coding","DNAJC8","ENSG00000126698"
"ENSG00000130770","ATPase inhibitory factor 1 [Source:HGNC Symbol;Acc:871]","1",28562620,28573417,"ATPIF1","protein_coding","ATPIF1","ENSG00000130770"
"ENSG00000130766","sestrin 2 [Source:HGNC Symbol;Acc:20746]","1",28586038,28609002,"SESN2","protein_coding","SESN2","ENSG00000130766"
"ENSG00000204138","phosphatase and actin regulator 4 [Source:HGNC Symbol;Acc:25793]","1",28696114,28826881,"PHACTR4","protein_coding","PHACTR4","ENSG00000204138"
"ENSG00000180198","regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:1913]","1",28832455,28865812,"RCC1","protein_coding","RCC1","ENSG00000180198"
"ENSG00000180098","tRNA selenocysteine 1 associated protein 1 [Source:HGNC Symbol;Acc:30813]","1",28879597,28905051,"TRNAU1AP","protein_coding","TRNAU1AP","ENSG00000180098"
"ENSG00000197989","small nucleolar RNA host gene 12 (non-protein coding) [Source:HGNC Symbol;Acc:30062]","1",28905050,28909495,"SNHG12","antisense","SNHG12","ENSG00000197989"
"ENSG00000120656","TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa [Source:HGNC Symbol;Acc:11545]","1",28915835,28969597,"TAF12","protein_coding","TAF12","ENSG00000120656"
"ENSG00000162419","glucocorticoid modulatory element binding protein 1 [Source:HGNC Symbol;Acc:4370]","1",28995244,29045865,"GMEB1","protein_coding","GMEB1","ENSG00000162419"
"ENSG00000198492","YTH domain family, member 2 [Source:HGNC Symbol;Acc:31675]","1",29063133,29096287,"YTHDF2","protein_coding","YTHDF2","ENSG00000198492"
"ENSG00000159023","erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked) [Source:HGNC Symbol;Acc:3377]","1",29213603,29446553,"EPB41","protein_coding","EPB41","ENSG00000159023"
"ENSG00000116350","serine/arginine-rich splicing factor 4 [Source:HGNC Symbol;Acc:10786]","1",29474255,29508499,"SRSF4","protein_coding","SRSF4","ENSG00000116350"
"ENSG00000186056","MATN1 antisense RNA 1 [Source:HGNC Symbol;Acc:40364]","1",31191351,31199674,"MATN1-AS1","antisense","MATN1-AS1","ENSG00000186056"
"ENSG00000162511","lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:29612]","1",31205316,31230667,"LAPTM5","protein_coding","LAPTM5","ENSG00000162511"
"ENSG00000134644","pumilio RNA-binding family member 1 [Source:HGNC Symbol;Acc:14957]","1",31404353,31538838,"PUM1","protein_coding","PUM1","ENSG00000134644"
"ENSG00000060688","small nuclear ribonucleoprotein 40kDa (U5) [Source:HGNC Symbol;Acc:30857]","1",31732417,31769662,"SNRNP40","protein_coding","SNRNP40","ENSG00000060688"
"ENSG00000121766","zinc finger, CCHC domain containing 17 [Source:HGNC Symbol;Acc:30246]","1",31769842,31837783,"ZCCHC17","protein_coding","ZCCHC17","ENSG00000121766"
"ENSG00000168528","serine incorporator 2 [Source:HGNC Symbol;Acc:23231]","1",31882412,31907525,"SERINC2","protein_coding","SERINC2","ENSG00000168528"
"ENSG00000162517","penta-EF-hand domain containing 1 [Source:HGNC Symbol;Acc:30009]","1",32095463,32110497,"PEF1","protein_coding","PEF1","ENSG00000162517"
"ENSG00000184007","protein tyrosine phosphatase type IVA, member 2 [Source:HGNC Symbol;Acc:9635]","1",32372022,32410457,"PTP4A2","protein_coding","PTP4A2","ENSG00000184007"
"ENSG00000121774","KH domain containing, RNA binding, signal transduction associated 1 [Source:HGNC Symbol;Acc:18116]","1",32479430,32526451,"KHDRBS1","protein_coding","KHDRBS1","ENSG00000121774"
"ENSG00000121775","transmembrane protein 39B [Source:HGNC Symbol;Acc:25510]","1",32537632,32568467,"TMEM39B","protein_coding","TMEM39B","ENSG00000121775"
"ENSG00000025800","karyopherin alpha 6 (importin alpha 7) [Source:HGNC Symbol;Acc:6399]","1",32573639,32642169,"KPNA6","protein_coding","KPNA6","ENSG00000025800"
"ENSG00000160050","coiled-coil domain containing 28B [Source:HGNC Symbol;Acc:28163]","1",32665987,32670988,"CCDC28B","protein_coding","CCDC28B","ENSG00000160050"
"ENSG00000084623","eukaryotic translation initiation factor 3, subunit I [Source:HGNC Symbol;Acc:3272]","1",32687529,32697205,"EIF3I","protein_coding","EIF3I","ENSG00000084623"
"ENSG00000182866","lymphocyte-specific protein tyrosine kinase [Source:HGNC Symbol;Acc:6524]","1",32716840,32751766,"LCK","protein_coding","LCK","ENSG00000182866"
"ENSG00000116478","histone deacetylase 1 [Source:HGNC Symbol;Acc:4852]","1",32757687,32799236,"HDAC1","protein_coding","HDAC1","ENSG00000116478"
"ENSG00000175130","MARCKS-like 1 [Source:HGNC Symbol;Acc:7142]","1",32799433,32801980,"MARCKSL1","protein_coding","MARCKSL1","ENSG00000175130"
"ENSG00000160058","BSD domain containing 1 [Source:HGNC Symbol;Acc:25501]","1",32830704,32860332,"BSDC1","protein_coding","BSDC1","ENSG00000160058"
"ENSG00000176261","zinc finger and BTB domain containing 8 opposite strand [Source:HGNC Symbol;Acc:24094]","1",33065773,33116504,"ZBTB8OS","protein_coding","ZBTB8OS","ENSG00000176261"
"ENSG00000162521","retinoblastoma binding protein 4 [Source:HGNC Symbol;Acc:9887]","1",33116743,33151812,"RBBP4","protein_coding","RBBP4","ENSG00000162521"
"ENSG00000162520","syncoilin, intermediate filament protein [Source:HGNC Symbol;Acc:28897]","1",33145507,33169197,"SYNC","protein_coding","SYNC","ENSG00000162520"
"ENSG00000134684","tyrosyl-tRNA synthetase [Source:HGNC Symbol;Acc:12840]","1",33240840,33283754,"YARS","protein_coding","YARS","ENSG00000134684"
"ENSG00000116497","S100P binding protein [Source:HGNC Symbol;Acc:25768]","1",33282368,33324476,"S100PBP","protein_coding","S100PBP","ENSG00000116497"
"ENSG00000116514","ring finger protein 19B [Source:HGNC Symbol;Acc:26886]","1",33402046,33430286,"RNF19B","protein_coding","RNF19B","ENSG00000116514"
"ENSG00000004455","adenylate kinase 2 [Source:HGNC Symbol;Acc:362]","1",33473585,33546597,"AK2","protein_coding","AK2","ENSG00000004455"
"ENSG00000134686","polyhomeotic homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:3183]","1",33789224,33896653,"PHC2","protein_coding","PHC2","ENSG00000134686"
"ENSG00000163866","small integral membrane protein 12 [Source:HGNC Symbol;Acc:25154]","1",35178338,35325417,"SMIM12","protein_coding","SMIM12","ENSG00000163866"
"ENSG00000163867","zinc finger, MYM-type 6 [Source:HGNC Symbol;Acc:13050]","1",35449523,35497569,"ZMYM6","protein_coding","ZMYM6","ENSG00000163867"
"ENSG00000116560","splicing factor proline/glutamine-rich [Source:HGNC Symbol;Acc:10774]","1",35641979,35658749,"SFPQ","protein_coding","SFPQ","ENSG00000116560"
"ENSG00000146463","zinc finger, MYM-type 4 [Source:HGNC Symbol;Acc:13055]","1",35734568,35887659,"ZMYM4","protein_coding","ZMYM4","ENSG00000146463"
"ENSG00000142687","KIAA0319-like [Source:HGNC Symbol;Acc:30071]","1",35899091,36023551,"KIAA0319L","protein_coding","KIAA0319L","ENSG00000142687"
"ENSG00000239636","","1",36035414,36043330,"RP4-728D4.2","antisense","RP4-728D4.2","ENSG00000239636"
"ENSG00000126067","proteasome (prosome, macropain) subunit, beta type, 2 [Source:HGNC Symbol;Acc:9539]","1",36067185,36107445,"PSMB2","protein_coding","PSMB2","ENSG00000126067"
"ENSG00000092853","claspin [Source:HGNC Symbol;Acc:19715]","1",36185819,36235568,"CLSPN","protein_coding","CLSPN","ENSG00000092853"
"ENSG00000134698","argonaute RISC catalytic component 4 [Source:HGNC Symbol;Acc:18424]","1",36273773,36323491,"AGO4","protein_coding","AGO4","ENSG00000134698"
"ENSG00000126070","argonaute RISC catalytic component 3 [Source:HGNC Symbol;Acc:18421]","1",36396319,36538101,"AGO3","protein_coding","AGO3","ENSG00000126070"
"ENSG00000116863","ADP-ribosylhydrolase like 2 [Source:HGNC Symbol;Acc:21304]","1",36554476,36559533,"ADPRHL2","protein_coding","ADPRHL2","ENSG00000116863"
"ENSG00000054116","trafficking protein particle complex 3 [Source:HGNC Symbol;Acc:19942]","1",36602173,36615098,"TRAPPC3","protein_coding","TRAPPC3","ENSG00000054116"
"ENSG00000116871","MAP7 domain containing 1 [Source:HGNC Symbol;Acc:25514]","1",36621180,36646450,"MAP7D1","protein_coding","MAP7D1","ENSG00000116871"
"ENSG00000054118","thyroid hormone receptor associated protein 3 [Source:HGNC Symbol;Acc:22964]","1",36690017,36770958,"THRAP3","protein_coding","THRAP3","ENSG00000054118"
"ENSG00000142694","eva-1 homolog B (C. elegans) [Source:HGNC Symbol;Acc:25558]","1",36787632,36789755,"EVA1B","protein_coding","EVA1B","ENSG00000142694"
"ENSG00000196182","serine/threonine kinase 40 [Source:HGNC Symbol;Acc:21373]","1",36805225,36851497,"STK40","protein_coding","STK40","ENSG00000196182"
"ENSG00000181817","LSM10, U7 small nuclear RNA associated [Source:HGNC Symbol;Acc:17562]","1",36856839,36863493,"LSM10","protein_coding","LSM10","ENSG00000181817"
"ENSG00000116898","mitochondrial ribosomal protein S15 [Source:HGNC Symbol;Acc:14504]","1",36921319,36930038,"MRPS15","protein_coding","MRPS15","ENSG00000116898"
"ENSG00000119535","colony stimulating factor 3 receptor (granulocyte) [Source:HGNC Symbol;Acc:2439]","1",36931644,36948879,"CSF3R","protein_coding","CSF3R","ENSG00000119535"
"ENSG00000163874","zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:26259]","1",37940153,37949980,"ZC3H12A","protein_coding","ZC3H12A","ENSG00000163874"
"ENSG00000163875","MYST/Esa1-associated factor 6 [Source:HGNC Symbol;Acc:25674]","1",37958176,37980375,"MEAF6","protein_coding","MEAF6","ENSG00000163875"
"ENSG00000163877","Smad nuclear interacting protein 1 [Source:HGNC Symbol;Acc:30587]","1",38000050,38019903,"SNIP1","protein_coding","SNIP1","ENSG00000163877"
"ENSG00000134697","guanine nucleotide binding protein-like 2 (nucleolar) [Source:HGNC Symbol;Acc:29925]","1",38032417,38061536,"GNL2","protein_coding","GNL2","ENSG00000134697"
"ENSG00000116922","chromosome 1 open reading frame 109 [Source:HGNC Symbol;Acc:26039]","1",38147242,38157914,"C1orf109","protein_coding","C1orf109","ENSG00000116922"
"ENSG00000196449","yrdC N(6)-threonylcarbamoyltransferase domain containing [Source:HGNC Symbol;Acc:28905]","1",38268616,38273857,"YRDC","protein_coding","YRDC","ENSG00000196449"
"ENSG00000197982","chromosome 1 open reading frame 122 [Source:HGNC Symbol;Acc:24789]","1",38272651,38275126,"C1orf122","protein_coding","C1orf122","ENSG00000197982"
"ENSG00000188786","metal-regulatory transcription factor 1 [Source:HGNC Symbol;Acc:7428]","1",38275239,38325292,"MTF1","protein_coding","MTF1","ENSG00000188786"
"ENSG00000204084","inositol polyphosphate-5-phosphatase, 75kDa [Source:HGNC Symbol;Acc:6077]","1",38326369,38412729,"INPP5B","protein_coding","INPP5B","ENSG00000204084"
"ENSG00000183431","splicing factor 3a, subunit 3, 60kDa [Source:HGNC Symbol;Acc:10767]","1",38422647,38456593,"SF3A3","protein_coding","SF3A3","ENSG00000183431"
"ENSG00000183386","four and a half LIM domains 3 [Source:HGNC Symbol;Acc:3704]","1",38462442,38471278,"FHL3","protein_coding","FHL3","ENSG00000183386"
"ENSG00000183520","UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast) [Source:HGNC Symbol;Acc:24329]","1",38474930,38490496,"UTP11L","protein_coding","UTP11L","ENSG00000183520"
"ENSG00000116954","Ras-related GTP binding C [Source:HGNC Symbol;Acc:19902]","1",39303870,39325495,"RRAGC","protein_coding","RRAGC","ENSG00000116954"
"ENSG00000214114","MYC binding protein [Source:HGNC Symbol;Acc:7554]","1",39328636,39347289,"MYCBP","protein_coding","MYCBP","ENSG00000214114"
"ENSG00000174574","akirin 1 [Source:HGNC Symbol;Acc:25744]","1",39456895,39471731,"AKIRIN1","protein_coding","AKIRIN1","ENSG00000174574"
"ENSG00000168653","NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:7712]","1",39491990,39500308,"NDUFS5","protein_coding","NDUFS5","ENSG00000168653"
"ENSG00000127603","microtubule-actin crosslinking factor 1 [Source:HGNC Symbol;Acc:13664]","1",39546988,39952849,"MACF1","protein_coding","MACF1","ENSG00000127603"
"ENSG00000090621","poly(A) binding protein, cytoplasmic 4 (inducible form) [Source:HGNC Symbol;Acc:8557]","1",40026488,40042462,"PABPC4","protein_coding","PABPC4","ENSG00000090621"
"ENSG00000084072","peptidylprolyl isomerase E (cyclophilin E) [Source:HGNC Symbol;Acc:9258]","1",40157854,40229586,"PPIE","protein_coding","PPIE","ENSG00000084072"
"ENSG00000043514","tRNA isopentenyltransferase 1 [Source:HGNC Symbol;Acc:20286]","1",40306723,40349183,"TRIT1","protein_coding","TRIT1","ENSG00000043514"
"ENSG00000116990","v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog [Source:HGNC Symbol;Acc:7555]","1",40361098,40367928,"MYCL","protein_coding","MYCL","ENSG00000116990"
"ENSG00000131236","CAP, adenylate cyclase-associated protein 1 (yeast) [Source:HGNC Symbol;Acc:20040]","1",40505905,40538321,"CAP1","protein_coding","CAP1","ENSG00000131236"
"ENSG00000131238","palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:9325]","1",40538379,40563375,"PPT1","protein_coding","PPT1","ENSG00000131238"
"ENSG00000117000","rearranged L-myc fusion [Source:HGNC Symbol;Acc:10025]","1",40627045,40706593,"RLF","protein_coding","RLF","ENSG00000117000"
"ENSG00000259943","","1",40722099,40723639,"RP1-39G22.7","antisense","RP1-39G22.7","ENSG00000259943"
"ENSG00000084073","zinc metallopeptidase STE24 [Source:HGNC Symbol;Acc:12877]","1",40723779,40759856,"ZMPSTE24","protein_coding","ZMPSTE24","ENSG00000084073"
"ENSG00000049089","collagen, type IX, alpha 2 [Source:HGNC Symbol;Acc:2218]","1",40766159,40783488,"COL9A2","protein_coding","COL9A2","ENSG00000049089"
"ENSG00000084070","small ArfGAP2 [Source:HGNC Symbol;Acc:25082]","1",40810522,40888998,"SMAP2","protein_coding","SMAP2","ENSG00000084070"
"ENSG00000066136","nuclear transcription factor Y, gamma [Source:HGNC Symbol;Acc:7806]","1",41157320,41237275,"NFYC","protein_coding","NFYC","ENSG00000066136"
"ENSG00000171793","CTP synthase 1 [Source:HGNC Symbol;Acc:2519]","1",41445007,41478235,"CTPS1","protein_coding","CTPS1","ENSG00000171793"
"ENSG00000127124","human immunodeficiency virus type I enhancer binding protein 3 [Source:HGNC Symbol;Acc:13561]","1",41972036,42501596,"HIVEP3","protein_coding","HIVEP3","ENSG00000127124"
"ENSG00000198815","forkhead box J3 [Source:HGNC Symbol;Acc:29178]","1",42642210,42801548,"FOXJ3","protein_coding","FOXJ3","ENSG00000198815"
"ENSG00000127125","phosphopantothenoylcysteine synthetase [Source:HGNC Symbol;Acc:25686]","1",42921788,42939056,"PPCS","protein_coding","PPCS","ENSG00000127125"
"ENSG00000171960","peptidylprolyl isomerase H (cyclophilin H) [Source:HGNC Symbol;Acc:14651]","1",43124096,43142429,"PPIH","protein_coding","PPIH","ENSG00000171960"
"ENSG00000065978","Y box binding protein 1 [Source:HGNC Symbol;Acc:8014]","1",43148098,43168020,"YBX1","protein_coding","YBX1","ENSG00000065978"
"ENSG00000117385","leucine proline-enriched proteoglycan (leprecan) 1 [Source:HGNC Symbol;Acc:19316]","1",43212006,43232755,"LEPRE1","protein_coding","LEPRE1","ENSG00000117385"
"ENSG00000164008","chromosome 1 open reading frame 50 [Source:HGNC Symbol;Acc:28795]","1",43232940,43263968,"C1orf50","protein_coding","C1orf50","ENSG00000164008"
"ENSG00000177868","coiled-coil domain containing 23 [Source:HGNC Symbol;Acc:29204]","1",43272723,43282954,"CCDC23","protein_coding","CCDC23","ENSG00000177868"
"ENSG00000117394","solute carrier family 2 (facilitated glucose transporter), member 1 [Source:HGNC Symbol;Acc:11005]","1",43391052,43424530,"SLC2A1","protein_coding","SLC2A1","ENSG00000117394"
"ENSG00000117395","EBNA1 binding protein 2 [Source:HGNC Symbol;Acc:15531]","1",43629846,43736607,"EBNA1BP2","protein_coding","EBNA1BP2","ENSG00000117395"
"ENSG00000117399","cell division cycle 20 [Source:HGNC Symbol;Acc:1723]","1",43824626,43828874,"CDC20","protein_coding","CDC20","ENSG00000117399"
"ENSG00000066322","ELOVL fatty acid elongase 1 [Source:HGNC Symbol;Acc:14418]","1",43829068,43833696,"ELOVL1","protein_coding","ELOVL1","ENSG00000066322"
"ENSG00000159479","mediator complex subunit 8 [Source:HGNC Symbol;Acc:19971]","1",43849588,43855479,"MED8","protein_coding","MED8","ENSG00000159479"
"ENSG00000178922","hydroxypyruvate isomerase (putative) [Source:HGNC Symbol;Acc:26948]","1",43916824,43919660,"HYI","protein_coding","HYI","ENSG00000178922"
"ENSG00000066135","lysine (K)-specific demethylase 4A [Source:HGNC Symbol;Acc:22978]","1",44115829,44171186,"KDM4A","protein_coding","KDM4A","ENSG00000066135"
"ENSG00000126091","ST3 beta-galactoside alpha-2,3-sialyltransferase 3 [Source:HGNC Symbol;Acc:10866]","1",44171495,44396831,"ST3GAL3","protein_coding","ST3GAL3","ENSG00000126091"
"ENSG00000132768","DPH2 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:3004]","1",44435672,44439041,"DPH2","protein_coding","DPH2","ENSG00000132768"
"ENSG00000117410","ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b [Source:HGNC Symbol;Acc:861]","1",44440159,44443967,"ATP6V0B","protein_coding","ATP6V0B","ENSG00000117410"
"ENSG00000178028","DNA methyltransferase 1 associated protein 1 [Source:HGNC Symbol;Acc:18291]","1",44679127,44686353,"DMAP1","protein_coding","DMAP1","ENSG00000178028"
"ENSG00000117419","ERI1 exoribonuclease family member 3 [Source:HGNC Symbol;Acc:17276]","1",44686742,44820932,"ERI3","protein_coding","ERI3","ENSG00000117419"
"ENSG00000187147","ring finger protein 220 [Source:HGNC Symbol;Acc:25552]","1",44870866,45117396,"RNF220","protein_coding","RNF220","ENSG00000187147"
"ENSG00000198520","chromosome 1 open reading frame 228 [Source:HGNC Symbol;Acc:34345]","1",45140364,45191263,"C1orf228","protein_coding","C1orf228","ENSG00000198520"
"ENSG00000142945","kinesin family member 2C [Source:HGNC Symbol;Acc:6393]","1",45205490,45233439,"KIF2C","protein_coding","KIF2C","ENSG00000142945"
"ENSG00000142937","ribosomal protein S8 [Source:HGNC Symbol;Acc:10441]","1",45240923,45244451,"RPS8","protein_coding","RPS8","ENSG00000142937"
"ENSG00000173846","polo-like kinase 3 [Source:HGNC Symbol;Acc:2154]","1",45265897,45271662,"PLK3","protein_coding","PLK3","ENSG00000173846"
"ENSG00000117425","patched 2 [Source:HGNC Symbol;Acc:9586]","1",45285516,45308735,"PTCH2","protein_coding","PTCH2","ENSG00000117425"
"ENSG00000070785","eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa [Source:HGNC Symbol;Acc:3259]","1",45316450,45452282,"EIF2B3","protein_coding","EIF2B3","ENSG00000070785"
"ENSG00000126088","uroporphyrinogen decarboxylase [Source:HGNC Symbol;Acc:12591]","1",45477819,45481247,"UROD","protein_coding","UROD","ENSG00000126088"
"ENSG00000132781","mutY homolog [Source:HGNC Symbol;Acc:7527]","1",45794835,45806142,"MUTYH","protein_coding","MUTYH","ENSG00000132781"
"ENSG00000132773","target of EGR1, member 1 (nuclear) [Source:HGNC Symbol;Acc:15954]","1",45805342,45809647,"TOE1","protein_coding","TOE1","ENSG00000132773"
"ENSG00000070759","testis-specific kinase 2 [Source:HGNC Symbol;Acc:11732]","1",45809555,45956872,"TESK2","protein_coding","TESK2","ENSG00000070759"
"ENSG00000117450","peroxiredoxin 1 [Source:HGNC Symbol;Acc:9352]","1",45976708,45988719,"PRDX1","protein_coding","PRDX1","ENSG00000117450"
"ENSG00000117448","aldo-keto reductase family 1, member A1 (aldehyde reductase) [Source:HGNC Symbol;Acc:380]","1",46016215,46035721,"AKR1A1","protein_coding","AKR1A1","ENSG00000117448"
"ENSG00000132780","nuclear autoantigenic sperm protein (histone-binding) [Source:HGNC Symbol;Acc:7644]","1",46049518,46084566,"NASP","protein_coding","NASP","ENSG00000132780"
"ENSG00000159592","GC-rich promoter binding protein 1-like 1 [Source:HGNC Symbol;Acc:28843]","1",46092976,46153785,"GPBP1L1","protein_coding","GPBP1L1","ENSG00000159592"
"ENSG00000159596","transmembrane protein 69 [Source:HGNC Symbol;Acc:28035]","1",46152886,46160115,"TMEM69","protein_coding","TMEM69","ENSG00000159596"
"ENSG00000197429","intracisternal A particle-promoted polypeptide [Source:HGNC Symbol;Acc:6108]","1",46159996,46216322,"IPP","protein_coding","IPP","ENSG00000197429"
"ENSG00000085998","protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-) [Source:HGNC Symbol;Acc:19139]","1",46654354,46685977,"POMGNT1","protein_coding","POMGNT1","ENSG00000085998"
"ENSG00000132128","leucine rich repeat containing 41 [Source:HGNC Symbol;Acc:16917]","1",46726868,46769280,"LRRC41","protein_coding","LRRC41","ENSG00000132128"
"ENSG00000173660","ubiquinol-cytochrome c reductase hinge protein [Source:HGNC Symbol;Acc:12590]","1",46769303,46782448,"UQCRH","protein_coding","UQCRH","ENSG00000173660"
"ENSG00000117480","fatty acid amide hydrolase [Source:HGNC Symbol;Acc:3553]","1",46859937,46879520,"FAAH","protein_coding","FAAH","ENSG00000117480"
"ENSG00000079277","MAP kinase interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:7110]","1",47023090,47082515,"MKNK1","protein_coding","MKNK1","ENSG00000079277"
"ENSG00000142961","MOB kinase activator 3C [Source:HGNC Symbol;Acc:29800]","1",47073387,47082563,"MOB3C","protein_coding","MOB3C","ENSG00000142961"
"ENSG00000123472","ATP synthase mitochondrial F1 complex assembly factor 1 [Source:HGNC Symbol;Acc:18803]","1",47098409,47139539,"ATPAF1","protein_coding","ATPAF1","ENSG00000123472"
"ENSG00000159658","EF-hand calcium binding domain 14 [Source:HGNC Symbol;Acc:29051]","1",47124366,47184824,"EFCAB14","protein_coding","EFCAB14","ENSG00000159658"
"ENSG00000162366","PDZK1 interacting protein 1 [Source:HGNC Symbol;Acc:16887]","1",47649265,47656716,"PDZK1IP1","protein_coding","PDZK1IP1","ENSG00000162366"
"ENSG00000162368","cytidine monophosphate (UMP-CMP) kinase 1, cytosolic [Source:HGNC Symbol;Acc:18170]","1",47799469,47844511,"CMPK1","protein_coding","CMPK1","ENSG00000162368"
"ENSG00000132122","spermatogenesis associated 6 [Source:HGNC Symbol;Acc:18309]","1",48761044,48937845,"SPATA6","protein_coding","SPATA6","ENSG00000132122"
"ENSG00000185104","Fas (TNFRSF6) associated factor 1 [Source:HGNC Symbol;Acc:3578]","1",50905150,51425935,"FAF1","protein_coding","FAF1","ENSG00000185104"
"ENSG00000123080","cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4) [Source:HGNC Symbol;Acc:1789]","1",51426417,51440305,"CDKN2C","protein_coding","CDKN2C","ENSG00000123080"
"ENSG00000123091","ring finger protein 11 [Source:HGNC Symbol;Acc:10056]","1",51701943,51739127,"RNF11","protein_coding","RNF11","ENSG00000123091"
"ENSG00000085832","epidermal growth factor receptor pathway substrate 15 [Source:HGNC Symbol;Acc:3419]","1",51819935,51985000,"EPS15","protein_coding","EPS15","ENSG00000085832"
"ENSG00000117859","oxysterol binding protein-like 9 [Source:HGNC Symbol;Acc:16386]","1",52042851,52254889,"OSBPL9","protein_coding","OSBPL9","ENSG00000117859"
"ENSG00000078618","nardilysin (N-arginine dibasic convertase) [Source:HGNC Symbol;Acc:7995]","1",52254863,52344477,"NRD1","protein_coding","NRD1","ENSG00000078618"
"ENSG00000117862","thioredoxin domain containing 12 (endoplasmic reticulum) [Source:HGNC Symbol;Acc:24626]","1",52485803,52521843,"TXNDC12","protein_coding","TXNDC12","ENSG00000117862"
"ENSG00000198841","KTI12 homolog, chromatin associated (S. cerevisiae) [Source:HGNC Symbol;Acc:25160]","1",52497775,52499488,"KTI12","protein_coding","KTI12","ENSG00000198841"
"ENSG00000134717","basic transcription factor 3-like 4 [Source:HGNC Symbol;Acc:30547]","1",52521797,52556388,"BTF3L4","protein_coding","BTF3L4","ENSG00000134717"
"ENSG00000154222","coiled-coil and C2 domain containing 1B [Source:HGNC Symbol;Acc:29386]","1",52811395,52831865,"CC2D1B","protein_coding","CC2D1B","ENSG00000154222"
